feature,importance,group,target,horizon
c_food_price_index_lag_1,0.69950366,Autoregressive,c_food_price_index,1
c_food_price_index_s1_rmean3,0.24172622,Autoregressive,c_food_price_index,1
c_food_price_index_s1_rmean12,0.0134875355,Autoregressive,c_food_price_index,1
c_food_price_index_lag_2,0.010885615,Autoregressive,c_food_price_index,1
country_iso,0.0025200183,Spatial ID,c_food_price_index,1
c_food_price_index_s3_rmean12,0.0024054057,Autoregressive,c_food_price_index,1
month_cos,0.0020338518,Temporal,c_food_price_index,1
month_sin,0.001997736,Temporal,c_food_price_index,1
NINO34_Anom_Lh1,0.0017502506,Climate Index,c_food_price_index,1
c_food_price_index_s2_rmean12,0.0016654878,Autoregressive,c_food_price_index,1
c_food_price_index_lag_12,0.0016379872,Autoregressive,c_food_price_index,1
Western_V_Gradient_Lh1,0.001621017,Climate Index,c_food_price_index,1
c_food_price_index_s2_rmean3,0.001588928,Autoregressive,c_food_price_index,1
IOD_DMI_Lh1,0.0014465199,Climate Index,c_food_price_index,1
MEI_v2_Lh1,0.0013789071,Climate Index,c_food_price_index,1
c_food_price_index_lag_6,0.0013005035,Autoregressive,c_food_price_index,1
c_food_price_index_lag_3,0.0011322459,Autoregressive,c_food_price_index,1
c_food_price_index_s3_rmean3,0.0010804627,Autoregressive,c_food_price_index,1
Tair_f_3mon_Z_Lh1,0.000960084,FLDAS,c_food_price_index,1
c_food_price_index_s3_rstd12,0.000886259,Autoregressive,c_food_price_index,1
SoilMoi00_10cm_3mon_Z_Lh1,0.0006985446,FLDAS,c_food_price_index,1
c_food_price_index_yoy,0.00069848174,Autoregressive,c_food_price_index,1
Rainf_f_3mon_Z_Lh1,0.00065142073,FLDAS,c_food_price_index,1
LST_Lh1,0.00056416454,Vegetation,c_food_price_index,1
SoilMoi10_40cm_3mon_Z_Lh1,0.0005601613,FLDAS,c_food_price_index,1
c_food_price_index_s1_rstd12,0.0005581015,Autoregressive,c_food_price_index,1
c_food_price_index_s2_rstd12,0.0005508169,Autoregressive,c_food_price_index,1
Qs_3mon_Z_Lh1,0.00054756604,FLDAS,c_food_price_index,1
Water_Balance_3mon_Z_Lh1,0.0005433103,FLDAS,c_food_price_index,1
VHI_Lh1,0.0005201726,Vegetation,c_food_price_index,1
NDVI_Lh1,0.00049409113,Vegetation,c_food_price_index,1
crop_cover_fraction,0.00048015683,Static,c_food_price_index,1
Evap_3mon_Z_Lh1,0.00045526004,FLDAS,c_food_price_index,1
Qsb_3mon_Z_Lh1,0.00035843815,FLDAS,c_food_price_index,1
population,0.00034880484,Static,c_food_price_index,1
conflict_fatalities_Lh1,0.0003435824,Conflict,c_food_price_index,1
admin2,0.00033938506,Spatial ID,c_food_price_index,1
conflict_events_Lh1,0.00027890835,Conflict,c_food_price_index,1
c_food_price_index_lag_2,0.68705213,Autoregressive,c_food_price_index,2
c_food_price_index_lag_3,0.1327746,Autoregressive,c_food_price_index,2
c_food_price_index_s2_rmean3,0.0906043,Autoregressive,c_food_price_index,2
c_food_price_index_s2_rmean12,0.0314654,Autoregressive,c_food_price_index,2
c_food_price_index_s3_rmean12,0.007497971,Autoregressive,c_food_price_index,2
country_iso,0.0040880125,Spatial ID,c_food_price_index,2
month_cos,0.004038556,Temporal,c_food_price_index,2
month_sin,0.003839409,Temporal,c_food_price_index,2
c_food_price_index_lag_12,0.0030796118,Autoregressive,c_food_price_index,2
c_food_price_index_lag_6,0.0029753016,Autoregressive,c_food_price_index,2
Western_V_Gradient_Lh2,0.0029446713,Climate Index,c_food_price_index,2
MEI_v2_Lh2,0.002850391,Climate Index,c_food_price_index,2
NINO34_Anom_Lh2,0.0027846426,Climate Index,c_food_price_index,2
IOD_DMI_Lh2,0.002601919,Climate Index,c_food_price_index,2
Tair_f_3mon_Z_Lh2,0.0022528714,FLDAS,c_food_price_index,2
c_food_price_index_s3_rmean3,0.0019377987,Autoregressive,c_food_price_index,2
c_food_price_index_s3_rstd12,0.0017184172,Autoregressive,c_food_price_index,2
SoilMoi00_10cm_3mon_Z_Lh2,0.0014506036,FLDAS,c_food_price_index,2
LST_Lh2,0.0011737519,Vegetation,c_food_price_index,2
NDVI_Lh2,0.0011420856,Vegetation,c_food_price_index,2
SoilMoi10_40cm_3mon_Z_Lh2,0.0011232476,FLDAS,c_food_price_index,2
Qs_3mon_Z_Lh2,0.0010872586,FLDAS,c_food_price_index,2
VHI_Lh2,0.001033528,Vegetation,c_food_price_index,2
c_food_price_index_s2_rstd12,0.0010187594,Autoregressive,c_food_price_index,2
Evap_3mon_Z_Lh2,0.0010061827,FLDAS,c_food_price_index,2
crop_cover_fraction,0.0009898308,Static,c_food_price_index,2
Rainf_f_3mon_Z_Lh2,0.0009758394,FLDAS,c_food_price_index,2
c_food_price_index_yoy,0.00097402895,Autoregressive,c_food_price_index,2
Water_Balance_3mon_Z_Lh2,0.0006790259,FLDAS,c_food_price_index,2
Qsb_3mon_Z_Lh2,0.0006677851,FLDAS,c_food_price_index,2
population,0.0006471703,Static,c_food_price_index,2
admin2,0.00063030794,Spatial ID,c_food_price_index,2
conflict_events_Lh2,0.0004889396,Conflict,c_food_price_index,2
conflict_fatalities_Lh2,0.00040558475,Conflict,c_food_price_index,2
c_food_price_index_lag_3,0.63822144,Autoregressive,c_food_price_index,3
c_food_price_index_s3_rmean3,0.18302374,Autoregressive,c_food_price_index,3
c_food_price_index_s3_rmean12,0.104533166,Autoregressive,c_food_price_index,3
month_cos,0.009006369,Temporal,c_food_price_index,3
country_iso,0.006921252,Spatial ID,c_food_price_index,3
MEI_v2_Lh3,0.0053460537,Climate Index,c_food_price_index,3
month_sin,0.004833817,Temporal,c_food_price_index,3
c_food_price_index_lag_12,0.0046366965,Autoregressive,c_food_price_index,3
NINO34_Anom_Lh3,0.0043846103,Climate Index,c_food_price_index,3
Western_V_Gradient_Lh3,0.004024676,Climate Index,c_food_price_index,3
c_food_price_index_lag_6,0.0038432747,Autoregressive,c_food_price_index,3
Tair_f_3mon_Z_Lh3,0.0037072552,FLDAS,c_food_price_index,3
IOD_DMI_Lh3,0.0036760683,Climate Index,c_food_price_index,3
c_food_price_index_s3_rstd12,0.0024254033,Autoregressive,c_food_price_index,3
SoilMoi00_10cm_3mon_Z_Lh3,0.0021127302,FLDAS,c_food_price_index,3
Evap_3mon_Z_Lh3,0.0017265427,FLDAS,c_food_price_index,3
SoilMoi10_40cm_3mon_Z_Lh3,0.001653884,FLDAS,c_food_price_index,3
crop_cover_fraction,0.0016363161,Static,c_food_price_index,3
VHI_Lh3,0.0015636426,Vegetation,c_food_price_index,3
