,c_maize_fao
NDVI,0.3144666805307293
LST,-0.25967344988581814
VHI,0.15507250054793745
Tair_f_3mon_Z,0.14747032714390443
SoilMoi10_40cm_3mon_Z,0.11309285505915535
Qs_3mon_Z,0.10819482231836117
NINO34_Anom,0.10304837296946132
crop_cover_fraction,-0.1011173157384192
conflict_events,-0.09986980208292619
Evap_3mon_Z,0.09723283825300745
SoilMoi00_10cm_3mon_Z,0.09466262678017856
Rainf_f_3mon_Z,0.08803639782860367
conflict_fatalities,-0.0872809348319245
Qsb_3mon_Z,0.08598462141620315
IOD_DMI,0.05194189524309265
Water_Balance_3mon_Z,0.032820928133919264
Western_V_Gradient,0.03244377386672344
MEI_v2,0.030508417395604552
population,-0.026842135857677342
