,c_sorghum
NDVI,-0.32437776583296846
Qsb_3mon_Z,0.14894749578889316
conflict_events,0.12677643451883486
LST,0.12609866312989004
crop_cover_fraction,-0.11325813360067909
Western_V_Gradient,0.09289806005417604
Tair_f_3mon_Z,0.08262101332965106
conflict_fatalities,0.07804690272322652
SoilMoi10_40cm_3mon_Z,0.060072412961706685
MEI_v2,-0.056899516230789475
VHI,0.03970506189380552
Water_Balance_3mon_Z,0.03480502385009627
Qs_3mon_Z,0.033689701270999274
IOD_DMI,0.027695425512822298
NINO34_Anom,0.024960641613768694
population,-0.023115320443351163
Rainf_f_3mon_Z,0.01888735999809621
SoilMoi00_10cm_3mon_Z,-0.01884463563842871
Evap_3mon_Z,-0.00727335170187705
