target,horizon,spatial_fold,temporal_fold,group,importance
c_food_price_index,1,0,0,Autoregressive,0.9383049607276917
c_food_price_index,1,0,0,Climate Index,0.020580489188432693
c_food_price_index,1,0,0,Conflict,0.001745759160257876
c_food_price_index,1,0,0,FLDAS,0.012160882353782654
c_food_price_index,1,0,0,Spatial ID,0.007225294131785631
c_food_price_index,1,0,0,Static,0.0037275273352861404
c_food_price_index,1,0,0,Temporal,0.011921042576432228
c_food_price_index,1,0,0,Vegetation,0.004334056284278631
c_food_price_index,1,0,1,Autoregressive,0.9426860213279724
c_food_price_index,1,0,1,Climate Index,0.01686255820095539
c_food_price_index,1,0,1,Conflict,0.0017931463662534952
c_food_price_index,1,0,1,FLDAS,0.0138601865619421
c_food_price_index,1,0,1,Spatial ID,0.007626150269061327
c_food_price_index,1,0,1,Static,0.0028472174890339375
c_food_price_index,1,0,1,Temporal,0.009299948811531067
c_food_price_index,1,0,1,Vegetation,0.005024949554353952
c_food_price_index,1,0,2,Autoregressive,0.9806280136108398
c_food_price_index,1,0,2,Climate Index,0.005609176121652126
c_food_price_index,1,0,2,Conflict,0.0005316517199389637
c_food_price_index,1,0,2,FLDAS,0.004768463782966137
c_food_price_index,1,0,2,Spatial ID,0.0021448791958391666
c_food_price_index,1,0,2,Static,0.0009951835963875055
c_food_price_index,1,0,2,Temporal,0.003705157432705164
c_food_price_index,1,0,2,Vegetation,0.0016174775082617998
c_food_price_index,1,1,0,Autoregressive,0.9328210949897766
c_food_price_index,1,1,0,Climate Index,0.022739935666322708
c_food_price_index,1,1,0,Conflict,0.0019527280237525702
c_food_price_index,1,1,0,FLDAS,0.013897474855184555
c_food_price_index,1,1,0,Spatial ID,0.005854819901287556
c_food_price_index,1,1,0,Static,0.003935263492166996
c_food_price_index,1,1,0,Temporal,0.01394418254494667
c_food_price_index,1,1,0,Vegetation,0.004854362457990646
c_food_price_index,1,1,1,Autoregressive,0.9391821026802063
c_food_price_index,1,1,1,Climate Index,0.01824299618601799
c_food_price_index,1,1,1,Conflict,0.0029968079179525375
c_food_price_index,1,1,1,FLDAS,0.014030343852937222
c_food_price_index,1,1,1,Spatial ID,0.008419649675488472
c_food_price_index,1,1,1,Static,0.002824205905199051
c_food_price_index,1,1,1,Temporal,0.008839348331093788
c_food_price_index,1,1,1,Vegetation,0.005464630201458931
c_food_price_index,1,1,2,Autoregressive,0.9714102149009705
c_food_price_index,1,1,2,Climate Index,0.008363627828657627
c_food_price_index,1,1,2,Conflict,0.0007418786408379674
c_food_price_index,1,1,2,FLDAS,0.006744891870766878
c_food_price_index,1,1,2,Spatial ID,0.004025206435471773
c_food_price_index,1,1,2,Static,0.0012039754074066877
c_food_price_index,1,1,2,Temporal,0.005041399970650673
c_food_price_index,1,1,2,Vegetation,0.0024686395190656185
c_food_price_index,1,2,0,Autoregressive,0.9410110116004944
c_food_price_index,1,2,0,Climate Index,0.0186019130051136
c_food_price_index,1,2,0,Conflict,0.001993858488276601
c_food_price_index,1,2,0,FLDAS,0.011362563818693161
c_food_price_index,1,2,0,Spatial ID,0.006412206217646599
c_food_price_index,1,2,0,Static,0.002642837818711996
c_food_price_index,1,2,0,Temporal,0.013120491057634354
c_food_price_index,1,2,0,Vegetation,0.0048551117070019245
c_food_price_index,1,2,1,Autoregressive,0.940944492816925
c_food_price_index,1,2,1,Climate Index,0.018176332116127014
c_food_price_index,1,2,1,Conflict,0.002772719133645296
c_food_price_index,1,2,1,FLDAS,0.01394281629472971
c_food_price_index,1,2,1,Spatial ID,0.006669044494628906
c_food_price_index,1,2,1,Static,0.0023971416521817446
c_food_price_index,1,2,1,Temporal,0.00957217626273632
c_food_price_index,1,2,1,Vegetation,0.005525196902453899
c_food_price_index,1,2,2,Autoregressive,0.9803317785263062
c_food_price_index,1,2,2,Climate Index,0.006334155332297087
c_food_price_index,1,2,2,Conflict,0.0006562905618920922
c_food_price_index,1,2,2,FLDAS,0.004526817239820957
c_food_price_index,1,2,2,Spatial ID,0.002095768926665187
c_food_price_index,1,2,2,Static,0.0008242881158366799
c_food_price_index,1,2,2,Temporal,0.003664147574454546
c_food_price_index,1,2,2,Vegetation,0.0015668511623516679
c_food_price_index,1,3,0,Autoregressive,0.9218149781227112
c_food_price_index,1,3,0,Climate Index,0.025836952030658722
c_food_price_index,1,3,0,Conflict,0.0014106384478509426
c_food_price_index,1,3,0,FLDAS,0.01125277578830719
c_food_price_index,1,3,0,Spatial ID,0.015006028115749359
c_food_price_index,1,3,0,Static,0.0031177543569356203
c_food_price_index,1,3,0,Temporal,0.017538130283355713
c_food_price_index,1,3,0,Vegetation,0.0040227738209068775
c_food_price_index,1,3,1,Autoregressive,0.9387139678001404
c_food_price_index,1,3,1,Climate Index,0.01853693462908268
c_food_price_index,1,3,1,Conflict,0.0037067136727273464
c_food_price_index,1,3,1,FLDAS,0.01236598938703537
c_food_price_index,1,3,1,Spatial ID,0.0085067143663764
c_food_price_index,1,3,1,Static,0.0026426073163747787
c_food_price_index,1,3,1,Temporal,0.01131155900657177
c_food_price_index,1,3,1,Vegetation,0.004215660039335489
c_food_price_index,1,3,2,Autoregressive,0.9649055600166321
c_food_price_index,1,3,2,Climate Index,0.011104857549071312
c_food_price_index,1,3,2,Conflict,0.0011261068284511566
c_food_price_index,1,3,2,FLDAS,0.007299813441932201
c_food_price_index,1,3,2,Spatial ID,0.005072318948805332
c_food_price_index,1,3,2,Static,0.0013874785508960485
c_food_price_index,1,3,2,Temporal,0.00673022260889411
c_food_price_index,1,3,2,Vegetation,0.0023736529983580112
c_food_price_index,1,4,0,Autoregressive,0.9272002577781677
c_food_price_index,1,4,0,Climate Index,0.025202758610248566
c_food_price_index,1,4,0,Conflict,0.0015100481687113643
c_food_price_index,1,4,0,FLDAS,0.013239231891930103
c_food_price_index,1,4,0,Spatial ID,0.009750645607709885
c_food_price_index,1,4,0,Static,0.00306626595556736
c_food_price_index,1,4,0,Temporal,0.015744613483548164
c_food_price_index,1,4,0,Vegetation,0.004286155570298433
c_food_price_index,1,4,1,Autoregressive,0.9402840733528137
c_food_price_index,1,4,1,Climate Index,0.017622733488678932
c_food_price_index,1,4,1,Conflict,0.003643881529569626
c_food_price_index,1,4,1,FLDAS,0.012346800416707993
c_food_price_index,1,4,1,Spatial ID,0.008803346194326878
c_food_price_index,1,4,1,Static,0.002624811138957739
c_food_price_index,1,4,1,Temporal,0.009938409551978111
c_food_price_index,1,4,1,Vegetation,0.004736036062240601
c_food_price_index,1,4,2,Autoregressive,0.9709751605987549
c_food_price_index,1,4,2,Climate Index,0.0086255744099617
c_food_price_index,1,4,2,Conflict,0.0009316217619925737
c_food_price_index,1,4,2,FLDAS,0.006545098498463631
c_food_price_index,1,4,2,Spatial ID,0.003889213316142559
c_food_price_index,1,4,2,Static,0.0011437053326517344
c_food_price_index,1,4,2,Temporal,0.0056051770225167274
c_food_price_index,1,4,2,Vegetation,0.0022845028433948755
c_food_price_index,2,0,0,Autoregressive,0.8840758204460144
c_food_price_index,2,0,0,Climate Index,0.04268665611743927
c_food_price_index,2,0,0,Conflict,0.002081891056150198
c_food_price_index,2,0,0,FLDAS,0.024290097877383232
c_food_price_index,2,0,0,Spatial ID,0.014110242016613483
c_food_price_index,2,0,0,Static,0.00812574289739132
c_food_price_index,2,0,0,Temporal,0.01698639988899231
c_food_price_index,2,0,0,Vegetation,0.0076431287452578545
c_food_price_index,2,0,1,Autoregressive,0.893639326095581
c_food_price_index,2,0,1,Climate Index,0.032721590250730515
c_food_price_index,2,0,1,Conflict,0.0030263590160757303
c_food_price_index,2,0,1,FLDAS,0.02799977734684944
c_food_price_index,2,0,1,Spatial ID,0.01196818333119154
c_food_price_index,2,0,1,Static,0.005945301149040461
c_food_price_index,2,0,1,Temporal,0.015411369502544403
c_food_price_index,2,0,1,Vegetation,0.009288097731769085
c_food_price_index,2,0,2,Autoregressive,0.9607263207435608
c_food_price_index,2,0,2,Climate Index,0.009867644868791103
c_food_price_index,2,0,2,Conflict,0.0010310605866834521
c_food_price_index,2,0,2,FLDAS,0.010572453960776329
c_food_price_index,2,0,2,Spatial ID,0.004316322505474091
c_food_price_index,2,0,2,Static,0.0020540794357657433
c_food_price_index,2,0,2,Temporal,0.0077469078823924065
c_food_price_index,2,0,2,Vegetation,0.0036851875483989716
c_food_price_index,2,1,0,Autoregressive,0.8660098314285278
c_food_price_index,2,1,0,Climate Index,0.05554823949933052
c_food_price_index,2,1,0,Conflict,0.0025565610267221928
c_food_price_index,2,1,0,FLDAS,0.02776704542338848
c_food_price_index,2,1,0,Spatial ID,0.013064791448414326
c_food_price_index,2,1,0,Static,0.007401769980788231
c_food_price_index,2,1,0,Temporal,0.018753333017230034
c_food_price_index,2,1,0,Vegetation,0.008898228406906128
c_food_price_index,2,1,1,Autoregressive,0.8970237374305725
c_food_price_index,2,1,1,Climate Index,0.03349035978317261
c_food_price_index,2,1,1,Conflict,0.002740930300205946
c_food_price_index,2,1,1,FLDAS,0.025421522557735443
c_food_price_index,2,1,1,Spatial ID,0.012434209696948528
c_food_price_index,2,1,1,Static,0.005102401599287987
c_food_price_index,2,1,1,Temporal,0.01496397890150547
c_food_price_index,2,1,1,Vegetation,0.008822795934975147
c_food_price_index,2,1,2,Autoregressive,0.9446917772293091
c_food_price_index,2,1,2,Climate Index,0.01562545821070671
c_food_price_index,2,1,2,Conflict,0.001244453014805913
c_food_price_index,2,1,2,FLDAS,0.013492937199771404
c_food_price_index,2,1,2,Spatial ID,0.0067213913425803185
c_food_price_index,2,1,2,Static,0.0026866369880735874
c_food_price_index,2,1,2,Temporal,0.01055782102048397
c_food_price_index,2,1,2,Vegetation,0.004979470279067755
c_food_price_index,2,2,0,Autoregressive,0.8916336894035339
c_food_price_index,2,2,0,Climate Index,0.04134943708777428
c_food_price_index,2,2,0,Conflict,0.0026536050718277693
c_food_price_index,2,2,0,FLDAS,0.0217042937874794
c_food_price_index,2,2,0,Spatial ID,0.009558617137372494
c_food_price_index,2,2,0,Static,0.005114097613841295
c_food_price_index,2,2,0,Temporal,0.02064763382077217
c_food_price_index,2,2,0,Vegetation,0.007338601164519787
c_food_price_index,2,2,1,Autoregressive,0.8961493372917175
c_food_price_index,2,2,1,Climate Index,0.03321627900004387
c_food_price_index,2,2,1,Conflict,0.0032153658103197813
c_food_price_index,2,2,1,FLDAS,0.028066666796803474
c_food_price_index,2,2,1,Spatial ID,0.010276037268340588
c_food_price_index,2,2,1,Static,0.004287156276404858
c_food_price_index,2,2,1,Temporal,0.015614612959325314
c_food_price_index,2,2,1,Vegetation,0.009174543432891369
c_food_price_index,2,2,2,Autoregressive,0.9640079140663147
c_food_price_index,2,2,2,Climate Index,0.010157546028494835
c_food_price_index,2,2,2,Conflict,0.0008466227445751429
c_food_price_index,2,2,2,FLDAS,0.009330916218459606
c_food_price_index,2,2,2,Spatial ID,0.0036239277105778456
c_food_price_index,2,2,2,Static,0.0016712562646716833
c_food_price_index,2,2,2,Temporal,0.0070860604755580425
c_food_price_index,2,2,2,Vegetation,0.0032757858280092478
c_food_price_index,2,3,0,Autoregressive,0.8458971381187439
c_food_price_index,2,3,0,Climate Index,0.06474693864583969
c_food_price_index,2,3,0,Conflict,0.002717860508710146
c_food_price_index,2,3,0,FLDAS,0.02434314228594303
c_food_price_index,2,3,0,Spatial ID,0.024874577298760414
c_food_price_index,2,3,0,Static,0.00609305314719677
c_food_price_index,2,3,0,Temporal,0.024584287777543068
c_food_price_index,2,3,0,Vegetation,0.006743050180375576
c_food_price_index,2,3,1,Autoregressive,0.8866962790489197
c_food_price_index,2,3,1,Climate Index,0.04022234305739403
c_food_price_index,2,3,1,Conflict,0.0031700972467660904
c_food_price_index,2,3,1,FLDAS,0.02217981219291687
c_food_price_index,2,3,1,Spatial ID,0.014366650953888893
c_food_price_index,2,3,1,Static,0.0043686553835868835
c_food_price_index,2,3,1,Temporal,0.021740565076470375
c_food_price_index,2,3,1,Vegetation,0.007255575153976679
c_food_price_index,2,3,2,Autoregressive,0.9329732060432434
c_food_price_index,2,3,2,Climate Index,0.02107774093747139
c_food_price_index,2,3,2,Conflict,0.001558136660605669
c_food_price_index,2,3,2,FLDAS,0.013827590271830559
c_food_price_index,2,3,2,Spatial ID,0.009647198021411896
c_food_price_index,2,3,2,Static,0.002598473336547613
c_food_price_index,2,3,2,Temporal,0.013563220389187336
c_food_price_index,2,3,2,Vegetation,0.004754534922540188
c_food_price_index,2,4,0,Autoregressive,0.8639647364616394
c_food_price_index,2,4,0,Climate Index,0.05792544409632683
c_food_price_index,2,4,0,Conflict,0.0022807817440479994
c_food_price_index,2,4,0,FLDAS,0.02340678498148918
c_food_price_index,2,4,0,Spatial ID,0.016280939802527428
c_food_price_index,2,4,0,Static,0.005809805355966091
c_food_price_index,2,4,0,Temporal,0.02326303720474243
c_food_price_index,2,4,0,Vegetation,0.007068435661494732
c_food_price_index,2,4,1,Autoregressive,0.8936803936958313
c_food_price_index,2,4,1,Climate Index,0.03457062691450119
c_food_price_index,2,4,1,Conflict,0.0031026965007185936
c_food_price_index,2,4,1,FLDAS,0.023539818823337555
c_food_price_index,2,4,1,Spatial ID,0.013516796752810478
c_food_price_index,2,4,1,Static,0.004710674285888672
c_food_price_index,2,4,1,Temporal,0.018866831436753273
c_food_price_index,2,4,1,Vegetation,0.00801203865557909
c_food_price_index,2,4,2,Autoregressive,0.9425368309020996
c_food_price_index,2,4,2,Climate Index,0.01686500757932663
c_food_price_index,2,4,2,Conflict,0.0014655319973826408
c_food_price_index,2,4,2,FLDAS,0.012821891345083714
c_food_price_index,2,4,2,Spatial ID,0.008190284483134747
c_food_price_index,2,4,2,Static,0.0022779761347919703
c_food_price_index,2,4,2,Temporal,0.01116438303142786
c_food_price_index,2,4,2,Vegetation,0.004678189288824797
c_food_price_index,3,0,0,Autoregressive,0.8159416913986206
c_food_price_index,3,0,0,Climate Index,0.07551950961351395
c_food_price_index,3,0,0,Conflict,0.0034965812228620052
c_food_price_index,3,0,0,FLDAS,0.03667348250746727
c_food_price_index,3,0,0,Spatial ID,0.013674926944077015
c_food_price_index,3,0,0,Static,0.012213647365570068
c_food_price_index,3,0,0,Temporal,0.030335338786244392
c_food_price_index,3,0,0,Vegetation,0.012144673615694046
c_food_price_index,3,0,1,Autoregressive,0.8480055332183838
c_food_price_index,3,0,1,Climate Index,0.04820072278380394
c_food_price_index,3,0,1,Conflict,0.004046306945383549
c_food_price_index,3,0,1,FLDAS,0.037067919969558716
c_food_price_index,3,0,1,Spatial ID,0.017730828374624252
c_food_price_index,3,0,1,Static,0.009521258994936943
c_food_price_index,3,0,1,Temporal,0.02263934724032879
c_food_price_index,3,0,1,Vegetation,0.01278815045952797
c_food_price_index,3,0,2,Autoregressive,0.9406487345695496
c_food_price_index,3,0,2,Climate Index,0.014810318127274513
c_food_price_index,3,0,2,Conflict,0.0014821146614849567
c_food_price_index,3,0,2,FLDAS,0.016261346638202667
c_food_price_index,3,0,2,Spatial ID,0.005980736576020718
c_food_price_index,3,0,2,Static,0.0037892041727900505
c_food_price_index,3,0,2,Temporal,0.011925224214792252
c_food_price_index,3,0,2,Vegetation,0.0051022847183048725
c_food_price_index,3,1,0,Autoregressive,0.7785859107971191
c_food_price_index,3,1,0,Climate Index,0.08158870786428452
c_food_price_index,3,1,0,Conflict,0.0039376867935061455
c_food_price_index,3,1,0,FLDAS,0.04240354523062706
c_food_price_index,3,1,0,Spatial ID,0.02258290722966194
c_food_price_index,3,1,0,Static,0.011154765263199806
c_food_price_index,3,1,0,Temporal,0.04691886156797409
c_food_price_index,3,1,0,Vegetation,0.012827517464756966
c_food_price_index,3,1,1,Autoregressive,0.8325409889221191
c_food_price_index,3,1,1,Climate Index,0.051980067044496536
c_food_price_index,3,1,1,Conflict,0.004859503358602524
c_food_price_index,3,1,1,FLDAS,0.03760167583823204
c_food_price_index,3,1,1,Spatial ID,0.01860617846250534
c_food_price_index,3,1,1,Static,0.00923477578908205
c_food_price_index,3,1,1,Temporal,0.030428171157836914
c_food_price_index,3,1,1,Vegetation,0.0147487111389637
c_food_price_index,3,1,2,Autoregressive,0.9117279648780823
c_food_price_index,3,1,2,Climate Index,0.024097923189401627
c_food_price_index,3,1,2,Conflict,0.00229630246758461
c_food_price_index,3,1,2,FLDAS,0.020072275772690773
c_food_price_index,3,1,2,Spatial ID,0.01173332892358303
c_food_price_index,3,1,2,Static,0.004203535616397858
c_food_price_index,3,1,2,Temporal,0.018110407516360283
c_food_price_index,3,1,2,Vegetation,0.007758331950753927
c_food_price_index,3,2,0,Autoregressive,0.8261705636978149
c_food_price_index,3,2,0,Climate Index,0.06756782531738281
c_food_price_index,3,2,0,Conflict,0.0038264538161456585
c_food_price_index,3,2,0,FLDAS,0.02839394472539425
c_food_price_index,3,2,0,Spatial ID,0.021995656192302704
c_food_price_index,3,2,0,Static,0.006236403249204159
c_food_price_index,3,2,0,Temporal,0.03653592988848686
c_food_price_index,3,2,0,Vegetation,0.009273206815123558
c_food_price_index,3,2,1,Autoregressive,0.8635908961296082
c_food_price_index,3,2,1,Climate Index,0.04947469383478165
c_food_price_index,3,2,1,Conflict,0.0033652628771960735
c_food_price_index,3,2,1,FLDAS,0.032451268285512924
c_food_price_index,3,2,1,Spatial ID,0.014536409638822079
c_food_price_index,3,2,1,Static,0.005468054674565792
c_food_price_index,3,2,1,Temporal,0.019761670380830765
c_food_price_index,3,2,1,Vegetation,0.01135166734457016
c_food_price_index,3,2,2,Autoregressive,0.9436115622520447
c_food_price_index,3,2,2,Climate Index,0.01578877493739128
c_food_price_index,3,2,2,Conflict,0.0015365194994956255
c_food_price_index,3,2,2,FLDAS,0.014376935549080372
c_food_price_index,3,2,2,Spatial ID,0.005494171287864447
c_food_price_index,3,2,2,Static,0.002855802420526743
c_food_price_index,3,2,2,Temporal,0.011817206628620625
c_food_price_index,3,2,2,Vegetation,0.00451905932277441
c_food_price_index,3,3,0,Autoregressive,0.7617748379707336
c_food_price_index,3,3,0,Climate Index,0.08912743628025055
c_food_price_index,3,3,0,Conflict,0.00566679984331131
c_food_price_index,3,3,0,FLDAS,0.03518875688314438
c_food_price_index,3,3,0,Spatial ID,0.041048936545848846
c_food_price_index,3,3,0,Static,0.008459275588393211
c_food_price_index,3,3,0,Temporal,0.049170561134815216
c_food_price_index,3,3,0,Vegetation,0.009563280269503593
c_food_price_index,3,3,1,Autoregressive,0.8293070793151855
c_food_price_index,3,3,1,Climate Index,0.060031693428754807
c_food_price_index,3,3,1,Conflict,0.004782755859196186
c_food_price_index,3,3,1,FLDAS,0.032406918704509735
c_food_price_index,3,3,1,Spatial ID,0.02173675410449505
c_food_price_index,3,3,1,Static,0.007130978628993034
c_food_price_index,3,3,1,Temporal,0.03428902477025986
c_food_price_index,3,3,1,Vegetation,0.010314717888832092
c_food_price_index,3,3,2,Autoregressive,0.8952902555465698
c_food_price_index,3,3,2,Climate Index,0.0323084257543087
c_food_price_index,3,3,2,Conflict,0.0021269635763019323
c_food_price_index,3,3,2,FLDAS,0.020051904022693634
c_food_price_index,3,3,2,Spatial ID,0.015234368853271008
c_food_price_index,3,3,2,Static,0.004111694172024727
c_food_price_index,3,3,2,Temporal,0.0243579912930727
c_food_price_index,3,3,2,Vegetation,0.006518306210637093
c_food_price_index,3,4,0,Autoregressive,0.7810233235359192
c_food_price_index,3,4,0,Climate Index,0.08579537272453308
c_food_price_index,3,4,0,Conflict,0.003545071929693222
c_food_price_index,3,4,0,FLDAS,0.04224304109811783
c_food_price_index,3,4,0,Spatial ID,0.02068355679512024
c_food_price_index,3,4,0,Static,0.009841691702604294
c_food_price_index,3,4,0,Temporal,0.044922105967998505
c_food_price_index,3,4,0,Vegetation,0.01194583810865879
c_food_price_index,3,4,1,Autoregressive,0.8398844003677368
c_food_price_index,3,4,1,Climate Index,0.05340978875756264
c_food_price_index,3,4,1,Conflict,0.004937615245580673
c_food_price_index,3,4,1,FLDAS,0.033559005707502365
c_food_price_index,3,4,1,Spatial ID,0.018963733687996864
c_food_price_index,3,4,1,Static,0.007256392389535904
c_food_price_index,3,4,1,Temporal,0.029821282252669334
c_food_price_index,3,4,1,Vegetation,0.012167776934802532
c_food_price_index,3,4,2,Autoregressive,0.9081844687461853
c_food_price_index,3,4,2,Climate Index,0.02661372348666191
c_food_price_index,3,4,2,Conflict,0.0022105739917606115
c_food_price_index,3,4,2,FLDAS,0.019649310037493706
c_food_price_index,3,4,2,Spatial ID,0.013095998205244541
c_food_price_index,3,4,2,Static,0.0040990812703967094
c_food_price_index,3,4,2,Temporal,0.01949400082230568
c_food_price_index,3,4,2,Vegetation,0.0066529372707009315
c_maize_fao,1,0,0,Autoregressive,0.9328528046607971
c_maize_fao,1,0,0,Climate Index,0.010806229896843433
c_maize_fao,1,0,0,Conflict,0.0008491701446473598
c_maize_fao,1,0,0,FLDAS,0.009210128337144852
c_maize_fao,1,0,0,Spatial ID,0.037121374160051346
c_maize_fao,1,0,0,Static,0.0015657912008464336
c_maize_fao,1,0,0,Temporal,0.00547418836504221
c_maize_fao,1,0,0,Vegetation,0.0021201628260314465
c_maize_fao,1,0,1,Autoregressive,0.8728880286216736
c_maize_fao,1,0,1,Climate Index,0.004115573130548
c_maize_fao,1,0,1,Conflict,0.0005240921163931489
c_maize_fao,1,0,1,FLDAS,0.004045292269438505
c_maize_fao,1,0,1,Spatial ID,0.11339310556650162
c_maize_fao,1,0,1,Static,0.0008955963421612978
c_maize_fao,1,0,1,Temporal,0.00281232176348567
c_maize_fao,1,0,1,Vegetation,0.0013259616680443287
