2026-02-10 16:44:34,107 - INFO - Initializing Admin Coverage Check...
2026-02-10 16:44:34,107 - INFO - loading canonical boundaries...
2026-02-10 16:44:34,298 - INFO - Loaded KEN boundaries: 290 regions
2026-02-10 16:44:34,309 - INFO - Loaded SOM boundaries: 118 regions
2026-02-10 16:44:34,331 - INFO - Loaded ETH boundaries: 74 regions
2026-02-10 16:44:34,331 - INFO - Loaded 482 canonical Admin2 regions.
2026-02-10 16:44:34,331 - INFO - --- Checking Price Data ---
2026-02-10 16:44:37,254 - WARNING - No match found for 'Tana River' (Best: Lari, Score: 68)
2026-02-10 16:44:37,254 - WARNING - No match found for 'Garissa' (Best: Banissa, Score: 71)
2026-02-10 16:44:37,256 - WARNING - No match found for 'Mombasa' (Best: Nyaribari Masaba, Score: 62)
2026-02-10 16:44:37,257 - WARNING - No match found for 'Nairobi' (Best: Narok North, Score: 65)
2026-02-10 16:44:37,257 - WARNING - No match found for 'Marsabit' (Best: Maara, Score: 72)
2026-02-10 16:44:37,258 - WARNING - No match found for 'Uasin Gishu' (Best: Arsi, Score: 68)
2026-02-10 16:44:37,259 - WARNING - No match found for 'Hola (Tana River)' (Best: Lari, Score: 68)
2026-02-10 16:44:37,263 - WARNING - No match found for 'Kwale' (Best: WANLEWEYNE, Score: 72)
2026-02-10 16:44:37,264 - WARNING - No match found for 'Afgooye' (Best: Yem, Score: 72)
2026-02-10 16:44:37,265 - WARNING - No match found for 'Baydhaba' (Best: BADHAN, Score: 71)
2026-02-10 16:44:37,265 - WARNING - No match found for 'Banadir' (Best: Ndia, Score: 68)
2026-02-10 16:44:37,266 - WARNING - No match found for 'Belet Xaawo' (Best: BELET HAWA, Score: 76)
2026-02-10 16:44:37,269 - WARNING - No match found for 'Ceel Waaq' (Best: EL WAK, Score: 75)
2026-02-10 16:44:37,270 - WARNING - No match found for 'Ceerigaabo' (Best: AYNABO, Score: 72)
2026-02-10 16:44:37,270 - WARNING - No match found for 'Dhuusamarreeb' (Best: DUSAMREB, Score: 76)
2026-02-10 16:44:37,271 - WARNING - No match found for 'Gaalkacyo' (Best: GALAD, Score: 68)
2026-02-10 16:44:37,274 - WARNING - No match found for 'Qardho' (Best: GARDO, Score: 73)
2026-02-10 16:44:37,275 - WARNING - No match found for 'Taleex' (Best: TALEH, Score: 73)
2026-02-10 16:44:37,276 - WARNING - No match found for 'Wadajir' (Best: Wajir North, Score: 75)
2026-02-10 16:44:37,277 - INFO - --- Checking Population Data ---
2026-02-10 16:44:37,277 - INFO - Loading Population Data...
2026-02-10 16:44:37,415 - WARNING - No match found for 'Chonyi' (Best: Karachuonyo, Score: 75)
2026-02-10 16:44:37,415 - WARNING - No match found for 'Kauma' (Best: Kamukunji, Score: 68)
2026-02-10 16:44:37,416 - WARNING - No match found for 'Tana Delta' (Best: Turkana Central, Score: 64)
2026-02-10 16:44:37,417 - WARNING - No match found for 'Tana River' (Best: Lari, Score: 68)
2026-02-10 16:44:37,417 - WARNING - No match found for 'Taita' (Best: Taveta, Score: 73)
2026-02-10 16:44:37,418 - WARNING - No match found for 'Garissa' (Best: Banissa, Score: 71)
2026-02-10 16:44:37,418 - WARNING - No match found for 'Hulugho' (Best: LUGHAYA, Score: 57)
2026-02-10 16:44:37,419 - WARNING - No match found for 'Buna' (Best: BUAALE, Score: 77)
2026-02-10 16:44:37,419 - WARNING - No match found for 'Habaswein' (Best: HAMAR WEYN, Score: 63)
2026-02-10 16:44:37,420 - WARNING - No match found for 'Kotulo' (Best: Ikolomani, Score: 65)
2026-02-10 16:44:37,421 - WARNING - No match found for 'Loiyangalani' (Best: Aldai, Score: 72)
2026-02-10 16:44:37,422 - WARNING - No match found for 'Marsabit North' (Best: Mandera North, Score: 74)
2026-02-10 16:44:37,423 - WARNING - No match found for 'Sololo' (Best: Molo, Score: 77)
2026-02-10 16:44:37,423 - WARNING - No match found for 'Garbatulla' (Best: HAGAR, Score: 68)
2026-02-10 16:44:37,424 - WARNING - No match found for 'Merti' (Best: Cental Imenti, Score: 72)
2026-02-10 16:44:37,427 - WARNING - No match found for 'Meru National Park' (Best: MARKA, Score: 68)
2026-02-10 16:44:37,428 - WARNING - No match found for 'Igambang'ombe' (Best: Kiambaa, Score: 69)
2026-02-10 16:44:37,432 - WARNING - No match found for 'Ikutha' (Best: ISKUSHUBAN, Score: 62)
2026-02-10 16:44:37,432 - WARNING - No match found for 'Katulani' (Best: Kathiani, Score: 75)
2026-02-10 16:44:37,433 - WARNING - No match found for 'Kisasi' (Best: Arsi, Score: 77)
2026-02-10 16:44:37,433 - WARNING - No match found for 'Kyuso' (Best: Soy, Score: 72)
2026-02-10 16:44:37,434 - WARNING - No match found for 'Matinyani' (Best: Nyali, Score: 72)
2026-02-10 16:44:37,434 - WARNING - No match found for 'Migwani' (Best: Tigania East, Score: 69)
2026-02-10 16:44:37,435 - WARNING - No match found for 'Mumoni' (Best: Mumias East, Score: 72)
2026-02-10 16:44:37,435 - WARNING - No match found for 'Mutitu' (Best: Tetu, Score: 68)
2026-02-10 16:44:37,436 - WARNING - No match found for 'Mutomo' (Best: South Omo, Score: 67)
2026-02-10 16:44:37,437 - WARNING - No match found for 'Nzambani' (Best: BAKI, Score: 68)
2026-02-10 16:44:37,438 - WARNING - No match found for 'Thagicu' (Best: KT, Score: 60)
2026-02-10 16:44:37,438 - WARNING - No match found for 'Tseikuru' (Best: Ruiru, Score: 68)
2026-02-10 16:44:37,438 - WARNING - No match found for 'Athi River' (Best: Kaiti, Score: 60)
2026-02-10 16:44:37,439 - WARNING - No match found for 'Kalama' (Best: Balambala, Score: 75)
2026-02-10 16:44:37,440 - WARNING - No match found for 'Kathonzweni' (Best: Kaiti, Score: 68)
2026-02-10 16:44:37,440 - WARNING - No match found for 'Kilungu' (Best: Lunga Lunga, Score: 68)
2026-02-10 16:44:37,441 - WARNING - No match found for 'Makindu' (Best: Malindi, Score: 71)
2026-02-10 16:44:37,442 - WARNING - No match found for 'Mukaa' (Best: Mukurweni, Score: 68)
2026-02-10 16:44:37,442 - WARNING - No match found for 'Nzaui' (Best: Naivasha, Score: 68)
2026-02-10 16:44:37,443 - WARNING - No match found for 'Mirangine' (Best: Rangwe, Score: 67)
2026-02-10 16:44:37,446 - WARNING - No match found for 'Aberdare National Park' (Best: BERDALE, Score: 77)
2026-02-10 16:44:37,449 - WARNING - No match found for 'Aberdare Forest' (Best: BERDALE, Score: 77)
2026-02-10 16:44:37,452 - WARNING - No match found for 'Kahuro' (Best: Karachuonyo, Score: 60)
2026-02-10 16:44:37,453 - WARNING - No match found for 'Kibish' (Best: SHIBIS, Score: 67)
2026-02-10 16:44:37,454 - WARNING - No match found for 'Kipkomo' (Best: Kipkelion East, Score: 65)
2026-02-10 16:44:37,459 - WARNING - No match found for 'Koibatek' (Best: Kibra, Score: 72)
2026-02-10 16:44:37,460 - WARNING - No match found for 'Marigat' (Best: Maragwa, Score: 71)
2026-02-10 16:44:37,464 - WARNING - No match found for 'Mau Forest' (Best: Lamu East, Score: 63)
2026-02-10 16:44:37,464 - WARNING - No match found for 'Isinya' (Best: Kirinyaga Central, Score: 75)
2026-02-10 16:44:37,465 - WARNING - No match found for 'Loitokitok' (Best: Loima, Score: 68)
2026-02-10 16:44:37,465 - WARNING - No match found for 'Mashuuru' (Best: HUDUR, Score: 72)
2026-02-10 16:44:37,466 - WARNING - No match found for 'Kericho East' (Best: Kuria East, Score: 73)
2026-02-10 16:44:37,468 - WARNING - No match found for 'Kakamega East' (Best: JAMAAME EAST, Score: 72)
2026-02-10 16:44:37,469 - WARNING - No match found for 'Kakamega North' (Best: Mwea, Score: 68)
2026-02-10 16:44:37,470 - WARNING - No match found for 'Matete' (Best: Mwatate, Score: 77)
2026-02-10 16:44:37,470 - WARNING - No match found for 'Kakamega Forest' (Best: Mwea, Score: 68)
2026-02-10 16:44:37,471 - WARNING - No match found for 'Bungoma East' (Best: Suna East, Score: 76)
2026-02-10 16:44:37,472 - WARNING - No match found for 'Bungoma North' (Best: Baringo North, Score: 77)
2026-02-10 16:44:37,472 - WARNING - No match found for 'Bungoma South' (Best: Baringo South, Score: 77)
2026-02-10 16:44:37,473 - WARNING - No match found for 'Cheptais' (Best: Hamisi, Score: 57)
2026-02-10 16:44:37,473 - WARNING - No match found for 'Bungoma West' (Best: Suna West, Score: 76)
2026-02-10 16:44:37,474 - WARNING - No match found for 'Bunyala' (Best: Funyula, Score: 71)
2026-02-10 16:44:37,475 - WARNING - No match found for 'Busia' (Best: Bura, Score: 67)
2026-02-10 16:44:37,475 - WARNING - No match found for 'Samia' (Best: Sidama, Score: 73)
2026-02-10 16:44:37,476 - WARNING - No match found for 'Siaya' (Best: Sidama, Score: 73)
2026-02-10 16:44:37,478 - WARNING - No match found for 'Etago' (Best: Dagoretti, Score: 60)
2026-02-10 16:44:37,478 - WARNING - No match found for 'Gucha' (Best: Kabuchai, Score: 72)
2026-02-10 16:44:37,479 - WARNING - No match found for 'Kenyenya' (Best: Kieni, Score: 68)
2026-02-10 16:44:37,481 - WARNING - No match found for 'Marani' (Best: Maara, Score: 73)
2026-02-10 16:44:37,482 - WARNING - No match found for 'Sameta' (Best: Mwea, Score: 68)
2026-02-10 16:44:37,484 - WARNING - No match found for 'Nyamira North' (Best: Narok North, Score: 75)
2026-02-10 16:44:37,484 - WARNING - No match found for 'Nyamira South' (Best: Narok South, Score: 75)
2026-02-10 16:44:37,485 - WARNING - No match found for 'Njiru' (Best: Kamukunji, Score: 68)
2026-02-10 16:44:37,487 - WARNING - No match found for 'Mekelle' (Best: Metekel, Score: 71)
2026-02-10 16:44:37,494 - WARNING - No match found for 'West Gondar' (Best: West Gojam, Score: 76)
2026-02-10 16:44:37,496 - WARNING - No match found for 'Buno Bedele' (Best: BERDALE, Score: 69)
2026-02-10 16:44:37,498 - WARNING - No match found for 'Finfine Special' (Best: Special Woreda, Score: 63)
2026-02-10 16:44:37,498 - WARNING - No match found for 'Erer' (Best: Butere, Score: 77)
2026-02-10 16:44:37,501 - WARNING - No match found for 'Mao Komo Special' (Best: Mavoko, Score: 75)
2026-02-10 16:44:37,502 - WARNING - No match found for 'Kembata Tembaro' (Best: GARDO, Score: 68)
2026-02-10 16:44:37,504 - WARNING - No match found for 'Konso' (Best: Konoin, Score: 73)
2026-02-10 16:44:37,505 - WARNING - No match found for 'Amaro' (Best: Eldama Ravine, Score: 72)
2026-02-10 16:44:37,506 - WARNING - No match found for 'Derashe' (Best: Mandera East, Score: 64)
2026-02-10 16:44:37,507 - WARNING - No match found for 'Bench Sheko' (Best: Sheka, Score: 72)
2026-02-10 16:44:37,508 - WARNING - No match found for 'Mirab Omo' (Best: Ijara, Score: 60)
2026-02-10 16:44:37,510 - WARNING - No match found for 'Agnewak' (Best: Agnuak, Score: 77)
2026-02-10 16:44:37,512 - WARNING - No match found for 'SO2202' (Best: Soy, Score: 72)
2026-02-10 16:44:37,512 - WARNING - No match found for 'SO2201' (Best: Soy, Score: 72)
2026-02-10 16:44:37,513 - WARNING - No match found for 'SO2203' (Best: Soy, Score: 72)
2026-02-10 16:44:37,513 - WARNING - No match found for 'SO2204' (Best: Soy, Score: 72)
2026-02-10 16:44:37,514 - WARNING - No match found for 'SO2205' (Best: Soy, Score: 72)
2026-02-10 16:44:37,514 - WARNING - No match found for 'SO2206' (Best: Soy, Score: 72)
2026-02-10 16:44:37,514 - WARNING - No match found for 'SO2207' (Best: Soy, Score: 72)
2026-02-10 16:44:37,515 - WARNING - No match found for 'SO2209' (Best: Soy, Score: 72)
2026-02-10 16:44:37,515 - WARNING - No match found for 'SO2208' (Best: Soy, Score: 72)
2026-02-10 16:44:37,516 - WARNING - No match found for 'SO2210' (Best: Soy, Score: 72)
2026-02-10 16:44:37,516 - WARNING - No match found for 'SO2211' (Best: Soy, Score: 72)
2026-02-10 16:44:37,517 - WARNING - No match found for 'SO2212' (Best: Soy, Score: 72)
2026-02-10 16:44:37,517 - WARNING - No match found for 'SO2213' (Best: Soy, Score: 72)
2026-02-10 16:44:37,517 - WARNING - No match found for 'SO2214' (Best: Soy, Score: 72)
2026-02-10 16:44:37,518 - WARNING - No match found for 'SO2215' (Best: Soy, Score: 72)
