country,adm1_name,adm2_name,mkt_name,lat,lon,admin2_canonical,algorithm
Kenya,Central,Nyeri,Karatina (Nyeri),-0.48,37.13,Mathira,Spatial Join
Kenya,Coast,Kilifi,Dzikunze,-3.25,39.75,Ganze,Spatial Join
Kenya,Coast,Kilifi,Kachororoni,-3.48,39.75,Ganze,Spatial Join
Kenya,Coast,Kilifi,Kaembeni,-3.33,39.79,Ganze,Spatial Join
Kenya,Coast,Kilifi,Kilifi,-3.63,39.85,Kilifi North,Spatial Join
Kenya,Coast,Kilifi,Matanomanne,-3.4,39.78,Ganze,Spatial Join
Kenya,Coast,Kwale,Vanga (Kwale),-4.66,39.22,,UNMATCHED
Kenya,Coast,Mombasa,Bangladesh (Mombasa),-4.01,39.63,Jomvu,Spatial Join
Kenya,Coast,Mombasa,Junda (Mombasa),-4.01,39.68,Kisauni,Spatial Join
Kenya,Coast,Mombasa,Kalahari (Mombasa),-4.03,39.63,Changamwe,Spatial Join
Kenya,Coast,Mombasa,Kisumu Ndogo (Mombasa),-4.04,39.69,Nyali,Spatial Join
Kenya,Coast,Mombasa,Kongowea (Mombasa),-4.06,39.66,Mvita,Spatial Join
Kenya,Coast,Mombasa,Mombasa,-4.05,39.67,Mvita,Spatial Join
Kenya,Coast,Mombasa,Moroto (Mombasa),-4.03,39.66,Mvita,Spatial Join
Kenya,Coast,Mombasa,Shauri Yako,-4.04,39.7,Nyali,Spatial Join
Kenya,Coast,Mombasa,Shonda (Mombasa),-4.11,39.65,Likoni,Spatial Join
Kenya,Coast,Taita Taveta,Mtito Andei,-2.69,38.16,Voi,Spatial Join
Kenya,Coast,Tana River,Adele Center,-0.47,39.61,Bura,Spatial Join
Kenya,Coast,Tana River,Bangale,-0.72,39.02,Bura,Spatial Join
Kenya,Coast,Tana River,Bilbil,-1.01,39.79,Bura,Spatial Join
Kenya,Coast,Tana River,Boka,-0.34,38.78,Bura,Spatial Join
Kenya,Coast,Tana River,Bura,-1.19,39.84,Galole,Spatial Join
Kenya,Coast,Tana River,Charidende,-0.78,39.67,Bura,Spatial Join
Kenya,Coast,Tana River,Garsen,-2.27,40.11,Garsen,Spatial Join
Kenya,Coast,Tana River,Hola town,-1.5,40.03,Galole,Spatial Join
Kenya,Coast,Tana River,Kipini,-2.53,40.53,,UNMATCHED
Kenya,Coast,Tana River,Makere,-1.33,40.01,Galole,Spatial Join
Kenya,Coast,Tana River,Masalani,-1.7,40.17,Ijara,Spatial Join
Kenya,Coast,Tana River,Minjila,-2.32,40.11,Garsen,Spatial Join
Kenya,Coast,Tana River,Saka Town,-0.14,39.33,Bura,Spatial Join
Kenya,Coast,Tana River,Tarasaa,-2.44,40.17,Garsen,Spatial Join
Kenya,Coast,Tana River,Waldena,-1.61,39.03,Galole,Spatial Join
Kenya,Coast,Tana River,Wayu,-1.53,39.58,Galole,Spatial Join
Kenya,Eastern,Isiolo,Benane,0.5,38.66,Isiolo South,Spatial Join
Kenya,Eastern,Isiolo,Biliqo,0.9,38.48,Isiolo North,Spatial Join
Kenya,Eastern,Isiolo,Boji,0.57,38.34,Isiolo South,Spatial Join
Kenya,Eastern,Isiolo,Bulesa Bulesa,0.96,38.54,Isiolo North,Spatial Join
Kenya,Eastern,Isiolo,Garbatulla,0.53,38.51,Isiolo South,Spatial Join
Kenya,Eastern,Isiolo,Iresaboru Centre,0.99,38.88,Isiolo South,Spatial Join
Kenya,Eastern,Isiolo,Isiolo town,0.35,37.58,Isiolo North,Spatial Join
Kenya,Eastern,Isiolo,Kinna,0.32,38.21,Isiolo South,Spatial Join
Kenya,Eastern,Isiolo,Kipsing CENTER,0.6,37.25,Isiolo North,Spatial Join
Kenya,Eastern,Isiolo,Kulamawe,0.57,38.2,Isiolo South,Spatial Join
Kenya,Eastern,Isiolo,Malka GALLA,1.27,38.8,Isiolo North,Spatial Join
Kenya,Eastern,Isiolo,Malkadaka,0.84,38.5,Isiolo South,Spatial Join
Kenya,Eastern,Isiolo,Merti CENTER,1.07,38.67,Isiolo North,Spatial Join
Kenya,Eastern,Isiolo,Modogashe,0.73,39.17,Isiolo South,Spatial Join
Kenya,Eastern,Isiolo,Oldonyiro,0.62,36.99,Isiolo North,Spatial Join
Kenya,Eastern,Isiolo,Sericho Center,1.13,39.1,Isiolo South,Spatial Join
Kenya,Eastern,Kitui,Kitui,-1.37,38.02,Kitui Central,Spatial Join
Kenya,Eastern,Kitui,Kitui town (Kitui),-1.36,38.01,Kitui Central,Spatial Join
Kenya,Eastern,Machakos,Tala Centre Market (Machakos),-1.27,37.32,Matungulu,Spatial Join
Kenya,Eastern,Makueni,Emali,-2.08,37.47,Makueni,Spatial Join
Kenya,Eastern,Makueni,Kathonzweni (Makueni),-1.91,37.73,Makueni,Spatial Join
Kenya,Eastern,Makueni,Kibwezi,-2.41,37.97,Kibwezi East,Spatial Join
Kenya,Eastern,Makueni,Makueni,-1.81,37.62,Makueni,Spatial Join
Kenya,Eastern,Makueni,Wote town (Makueni),-1.79,37.63,Makueni,Spatial Join
Kenya,Eastern,Marsabit,Dirib,2.29,38.06,Saku,Spatial Join
Kenya,Eastern,Marsabit,Dub Goba,2.33,38.03,Saku,Spatial Join
Kenya,Eastern,Marsabit,Karare,2.21,37.89,Saku,Spatial Join
Kenya,Eastern,Marsabit,Kargi,2.49,37.56,Laisamis,Spatial Join
Kenya,Eastern,Marsabit,Kargi South Horr,2.1,36.92,Laisamis,Spatial Join
Kenya,Eastern,Marsabit,Korr,2.01,37.5,Laisamis,Spatial Join
Kenya,Eastern,Marsabit,Laisamis Town,1.58,37.8,Laisamis,Spatial Join
Kenya,Eastern,Marsabit,Loglogo,1.99,37.92,Laisamis,Spatial Join
Kenya,Eastern,Marsabit,Loyangalani,2.76,36.72,Laisamis,Spatial Join
Kenya,Eastern,Marsabit,Maikona,2.92,37.63,North Horr,Spatial Join
Kenya,Eastern,Marsabit,Marsabit,2.33,37.98,Saku,Spatial Join
Kenya,Eastern,Marsabit,Marsabit town,2.33,37.99,Saku,Spatial Join
Kenya,Eastern,Marsabit,Merille Town,1.42,37.72,Laisamis,Spatial Join
Kenya,Eastern,Marsabit,North Horr,3.32,37.07,North Horr,Spatial Join
Kenya,Eastern,Marsabit,Songa,2.25,38.0,Saku,Spatial Join
Kenya,Eastern,Meru North,Kiwanja,0.44,37.6,Tigania East,Spatial Join
Kenya,Eastern,Meru North,Ngaremara,0.5,37.64,Isiolo North,Spatial Join
Kenya,Eastern,Meru South,Kaanwa (Tharaka Nithi),-0.32,37.72,Nithi,Spatial Join
Kenya,Eastern,Moyale,Dambala Fachana,3.51,38.75,Moyale,Spatial Join
Kenya,Eastern,Moyale,Moyale town,3.51,39.05,Moyale,Spatial Join
Kenya,Eastern,Moyale,Sololo,3.56,38.65,Moyale,Spatial Join
Kenya,Eastern,Moyale,Walda,3.45,38.52,Moyale,Spatial Join
Kenya,Hola (Tana River),Hola (Tana River),Hola (Tana River),1.0,38.0,Samburu East,Spatial Join
Kenya,Kajiado,Ongata Rongai,Ongata Rongai,-1.41,36.83,Kajiado East,Spatial Join
Kenya,Market Average,Market Average,Market Average,,,,UNMATCHED
Kenya,Nairobi,Nairobi,Dandora (Nairobi),-1.25,36.9,Embakasi North,Spatial Join
Kenya,Nairobi,Nairobi,Kangemi (Nairobi),-1.27,36.74,Westlands,Spatial Join
Kenya,Nairobi,Nairobi,Kawangware (Nairobi),-1.28,36.74,Kilimani,Spatial Join
Kenya,Nairobi,Nairobi,Kibra (Nairobi),-1.32,36.78,Langata,Spatial Join
Kenya,Nairobi,Nairobi,Kitengela (Kajiado),-1.29,36.86,Makadara,Spatial Join
Kenya,Nairobi,Nairobi,Mathare (Nairobi),-1.26,36.86,Mathare,Spatial Join
Kenya,Nairobi,Nairobi,Mukuru (Nairobi),-1.3,36.88,Makadara,Spatial Join
Kenya,Nairobi,Nairobi,Nairobi,-1.28,36.82,Starehe,Spatial Join
Kenya,Nairobi,Nairobi,Wakulima (Nairobi),-1.29,36.83,Starehe,Spatial Join
Kenya,North Eastern,Garissa,Alango Arba,-0.1,39.99,Fafi,Spatial Join
Kenya,North Eastern,Garissa,Alinjugur,-0.03,40.46,Dadaab,Spatial Join
Kenya,North Eastern,Garissa,Baraki,0.65,39.58,Lagdera,Spatial Join
Kenya,North Eastern,Garissa,Dadaab town,0.06,40.31,Dadaab,Spatial Join
Kenya,North Eastern,Garissa,Dagahaley (Daadab),0.19,40.29,Dadaab,Spatial Join
Kenya,North Eastern,Garissa,Damajale,0.1,40.78,Dadaab,Spatial Join
Kenya,North Eastern,Garissa,Dertu,0.28,39.8,Lagdera,Spatial Join
Kenya,North Eastern,Garissa,Garissa,-0.46,39.65,Dujis,Spatial Join
Kenya,North Eastern,Garissa,Garissa town (Garissa),-0.46,39.64,Dujis,Spatial Join
Kenya,North Eastern,Garissa,Hagadera (Daadab),0.01,40.37,Fafi,Spatial Join
Kenya,North Eastern,Garissa,IFO (Daadab),0.11,40.32,Dadaab,Spatial Join
Kenya,North Eastern,Garissa,Jarajara,-0.04,39.01,Bura,Spatial Join
Kenya,North Eastern,Garissa,Korakora,-0.61,39.78,Bura,Spatial Join
Kenya,North Eastern,Garissa,Liboi,0.35,40.87,Dadaab,Spatial Join
Kenya,North Eastern,Garissa,Maalamin,0.38,39.35,Lagdera,Spatial Join
Kenya,North Eastern,Garissa,Mathaxgesi,0.16,40.43,Dadaab,Spatial Join
Kenya,North Eastern,Garissa,Nanigi,-0.85,39.87,Bura,Spatial Join
Kenya,North Eastern,Garissa,Saretho,-0.03,40.13,Fafi,Spatial Join
Kenya,North Eastern,Garissa,Shanta Abak,0.46,39.74,Lagdera,Spatial Join
Kenya,North Eastern,Ijara,Hara (Garissa),-1.85,40.23,Ijara,Spatial Join
Kenya,North Eastern,Ijara,Kotile,-1.97,40.21,Ijara,Spatial Join
